img1_path,img2_path,output_distance,output_angle
data/img1.png,data/img10.png,1,2
data/img1.png,data/img2.png,1,1
data/img1.png,data/img3.png,1,2
data/img1.png,data/img4.png,2,2
data/img1.png,data/img5.png,2,2
data/img1.png,data/img6.png,1,2
data/img1.png,data/img7.png,1,2
data/img1.png,data/img8.png,2,2
data/img1.png,data/img9.png,2,2
data/img10.png,data/img1.png,2,1
data/img10.png,data/img2.png,1,1
data/img10.png,data/img3.png,2,1
data/img10.png,data/img4.png,2,1
data/img10.png,data/img5.png,2,2
data/img10.png,data/img6.png,2,1
data/img10.png,data/img7.png,1,1
data/img10.png,data/img8.png,2,2
data/img10.png,data/img9.png,2,1
data/img2.png,data/img1.png,2,2
data/img2.png,data/img10.png,2,2
data/img2.png,data/img3.png,2,2
data/img2.png,data/img4.png,2,2
data/img2.png,data/img5.png,2,2
data/img2.png,data/img6.png,2,2
data/img2.png,data/img7.png,1,2
data/img2.png,data/img8.png,2,2
data/img2.png,data/img9.png,2,2
data/img3.png,data/img1.png,2,1
data/img3.png,data/img10.png,1,2
data/img3.png,data/img2.png,1,1
data/img3.png,data/img4.png,2,1
data/img3.png,data/img5.png,2,2
data/img3.png,data/img6.png,2,1
data/img3.png,data/img7.png,1,1
data/img3.png,data/img8.png,2,2
data/img3.png,data/img9.png,2,1
data/img4.png,data/img1.png,1,1
data/img4.png,data/img10.png,1,2
data/img4.png,data/img2.png,1,1
data/img4.png,data/img3.png,1,2
data/img4.png,data/img5.png,2,2
data/img4.png,data/img6.png,1,1
data/img4.png,data/img7.png,1,1
data/img4.png,data/img8.png,2,2
data/img4.png,data/img9.png,2,1
data/img5.png,data/img1.png,1,1
data/img5.png,data/img10.png,1,1
data/img5.png,data/img2.png,1,1
data/img5.png,data/img3.png,1,1
data/img5.png,data/img4.png,1,1
data/img5.png,data/img6.png,1,1
data/img5.png,data/img7.png,1,1
data/img5.png,data/img8.png,2,2
data/img5.png,data/img9.png,2,1
data/img6.png,data/img1.png,2,1
data/img6.png,data/img10.png,1,2
data/img6.png,data/img2.png,1,1
data/img6.png,data/img3.png,1,2
data/img6.png,data/img4.png,2,2
data/img6.png,data/img5.png,2,2
data/img6.png,data/img7.png,1,1
data/img6.png,data/img8.png,2,2
data/img6.png,data/img9.png,2,1
data/img7.png,data/img1.png,2,1
data/img7.png,data/img10.png,2,2
data/img7.png,data/img2.png,2,1
data/img7.png,data/img3.png,2,2
data/img7.png,data/img4.png,2,2
data/img7.png,data/img5.png,2,2
data/img7.png,data/img6.png,2,2
data/img7.png,data/img8.png,2,2
data/img7.png,data/img9.png,2,2
data/img8.png,data/img1.png,1,1
data/img8.png,data/img10.png,1,1
data/img8.png,data/img2.png,1,1
data/img8.png,data/img3.png,1,1
data/img8.png,data/img4.png,1,1
data/img8.png,data/img5.png,1,1
data/img8.png,data/img6.png,1,1
data/img8.png,data/img7.png,1,1
data/img8.png,data/img9.png,1,1
data/img9.png,data/img1.png,1,1
data/img9.png,data/img10.png,1,2
data/img9.png,data/img2.png,1,1
data/img9.png,data/img3.png,1,2
data/img9.png,data/img4.png,1,2
data/img9.png,data/img5.png,1,2
data/img9.png,data/img6.png,1,2
data/img9.png,data/img7.png,1,1
data/img9.png,data/img8.png,2,2
